Transaction Date,Action,Symbol,Quantity,Price,Gross Amount,Commission,Net Amount,Currency,Activity Type,Account Type
2019-07-16 12:00:00 AM,CON,,0.00000,0.00000000,0.00,0.00,1000.00,CAD,Deposits,Individual TFSA
2019-07-16 12:00:00 AM,DEP,,0.00000,0.00000000,0.00,0.00,1000.00,CAD,Deposits,Individual margin
2019-07-23 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,29978.27,USD,FX conversion,Individual TFSA
2019-07-23 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,-40000.00,CAD,FX conversion,Individual TFSA
2019-07-23 12:00:00 AM,CON,,0.00000,0.00000000,0.00,0.00,39000.00,CAD,Deposits,Individual TFSA
2019-07-24 12:00:00 AM,TF6,,0.00000,0.00000000,0.00,0.00,103526.21,CAD,Transfers,Individual RRSP
2019-07-24 12:00:00 AM,Buy,URI,110.00000,126.61890000,-13928.08,-4.95,-13933.03,USD,Trades,Individual TFSA
2019-07-25 12:00:00 AM,CON,,0.00000,0.00000000,0.00,0.00,23500.00,CAD,Deposits,Individual TFSA
2019-07-26 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,77408.56,USD,FX conversion,Individual RRSP
2019-07-26 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,-103526.21,CAD,FX conversion,Individual RRSP
2019-07-26 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,17571.41,USD,FX conversion,Individual TFSA
2019-07-26 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,-23500.00,CAD,FX conversion,Individual TFSA
2019-07-26 12:00:00 AM,Buy,TUP,1080.00000,14.79000000,-15973.20,-9.95,-15983.15,USD,Trades,Individual TFSA
2019-07-29 12:00:00 AM,Buy,INVA,2100.00000,11.84722857,-24879.18,-9.95,-24889.13,USD,Trades,Individual RRSP
2019-07-29 12:00:00 AM,Sell,TUP,-1080.00000,14.41000000,15562.80,-10.28,15552.52,USD,Trades,Individual TFSA
2019-07-30 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,29953.57,USD,FX conversion,Individual margin
2019-07-30 12:00:00 AM,FXT,,0.00000,0.00000000,0.00,0.00,-40000.00,CAD,FX conversion,Individual margin
2019-07-30 12:00:00 AM,DEP,,0.00000,0.00000000,0.00,0.00,40000.00,CAD,Deposits,Individual margin
2019-07-30 12:00:00 AM,Buy,NMIH,1000.00000,25.25950000,-25259.50,-9.95,-25269.45,USD,Trades,Individual RRSP
2019-07-30 12:00:00 AM,Buy,GPC,250.00000,98.16200000,-24540.50,-4.95,-24545.45,USD,Trades,Individual RRSP
2019-07-30 12:00:00 AM,Buy,NFG,500.00000,47.30000000,-23650.00,-5.00,-23655.00,USD,Trades,Individual TFSA
